+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[15]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[12]/D|
|                    clk_i |                    clk_i |                                                     core_i/id_stage_i/register_file_i/wdata_b_q_reg[26]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[12]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[12]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[7]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[6]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[15]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[15]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_b_ex_o_reg[8]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[8]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[11]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[14]/D|
|                    clk_i |                    clk_i |                                                     core_i/id_stage_i/register_file_i/wdata_b_q_reg[19]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[8]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[3]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[15]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[8]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[12]/D|
|                    clk_i |                    clk_i |                                                     core_i/id_stage_i/register_file_i/wdata_b_q_reg[31]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[11]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[14]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[7]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_b_ex_o_reg[3]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[12]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[1]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[10]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[2]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[3]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[3]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[11]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[10]/D|
|                    clk_i |                    clk_i |                                                               core_i/cs_registers_i/mstatus_q_reg[mpie]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[9]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[9]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/D|
|                    clk_i |                    clk_i |                                                                     core_i/cs_registers_i/mepc_q_reg[7]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[9]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[9]/D|
|                    clk_i |                    clk_i |                                                     core_i/id_stage_i/register_file_i/wdata_b_q_reg[28]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_b_ex_o_reg[9]/D|
|                    clk_i |                    clk_i |                                                       core_i/id_stage_i/controller_i/ctrl_fsm_cs_reg[0]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operator_ex_o_reg[2]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[6]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_b_ex_o_reg[11]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[19]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[4]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[3]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[0]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_c_ex_o_reg[26]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_c_ex_o_reg[13]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[0]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[11]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[4]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_b_ex_o_reg[10]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[7]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[5]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[5]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[6]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[6]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_b_ex_o_reg[27]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_a_ex_o_reg[27]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_a_ex_o_reg[23]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_a_ex_o_reg[21]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_c_ex_o_reg[15]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[8]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[7]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_c_ex_o_reg[11]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[6]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[4]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[4]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[9]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[8]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_c_ex_o_reg[29]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_c_ex_o_reg[19]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_c_ex_o_reg[25]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_c_ex_o_reg[23]/CE|
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_c_ex_o_reg[20]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_c_ex_o_reg[16]/CE|
|                    clk_i |                    clk_i |                                                                core_i/id_stage_i/data_type_ex_o_reg[0]/CE|
|                    clk_i |                    clk_i |                                                                core_i/id_stage_i/data_type_ex_o_reg[1]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[15]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[10]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[20]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[17]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_c_ex_o_reg[25]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[27]/CE|
